"pqrsds","asunto","categoria","fecha_entrada","fecha_maxima_respuesta","fecha_respuesta"
"PQRSDS 2020001","Hoja de vida","Hoja de Vida","2020-06-25T00:00:00.000","2020-07-03T00:00:00.000","2020-06-25T00:00:00.000"
"PQRSDS 2020002","Enviar el RUT del Aeropuerto Internacional Matecaña.","Otros","2020-06-25T00:00:00.000","2020-07-03T00:00:00.000","2020-06-25T00:00:00.000"
"PQRSDS 2020003","Solicitud certificado RTE IVA","Otros","2020-07-08T00:00:00.000","2020-07-17T00:00:00.000","2020-07-08T00:00:00.000"
"PQRSDS 2020004","Sugerencia","Otros","2020-07-09T00:00:00.000","2020-07-18T00:00:00.000","2020-07-09T00:00:00.000"
"PQRSDS 2020005","Hoja de vida","Hoja de Vida","2020-07-10T00:00:00.000","2020-07-19T00:00:00.000","2020-07-10T00:00:00.000"
"PQRSDS 2020006","Felicitación","Otros","2020-07-15T00:00:00.000","2020-07-25T00:00:00.000","2020-07-16T00:00:00.000"
"PQRSDS 2020007","Fecha de funcionamiento del aeropuerto","Otros","2020-07-19T00:00:00.000","2020-07-29T00:00:00.000","2020-07-29T00:00:00.000"
"PQRSDS 2020008","CARTA PROTOCOLO","Otros","2020-07-26T00:00:00.000","2020-08-03T00:00:00.000","2020-07-27T00:00:00.000"
"PQRSDS 2020009","RESPUESTA PQRSDS","Queja Aerolinea","2020-07-29T00:00:00.000","2020-07-29T00:00:00.000","2020-07-29T00:00:00.000"
"PQRSDS 2020010","Solicitud programa de locucion","Otros","2020-07-30T00:00:00.000","2020-08-10T00:00:00.000",
"PQRSDS 2020011","Sala VIP","Otros","2020-08-03T00:00:00.000","2020-08-13T00:00:00.000","2020-08-10T00:00:00.000"
"PQRSDS 2020012","Donde puedo entregar una hoja de vida en el aeropuerto Internacional matecaña gracias.","Hoja de Vida","2020-08-03T00:00:00.000","2020-08-13T00:00:00.000","2020-08-03T00:00:00.000"
"PQRSDS 2020013","Consulta sobre vuelos comerciales de Pereira a Medellín","Estados Vuelos","2020-08-03T00:00:00.000","2020-08-13T00:00:00.000","2020-08-03T00:00:00.000"
"PQRSDS 2020014","AVERIGUAR SOBRE UNA PERSONA","Otros","2020-08-05T00:00:00.000","2020-08-15T00:00:00.000","2020-08-05T00:00:00.000"
"PQRSDS 2020015","Buenas noches para saber que cuesta un vuelo de Villavicencio a Pereira?? GRACIAS","Tiquetes","2020-08-08T00:00:00.000","2020-08-18T00:00:00.000","2020-08-10T00:00:00.000"
"PQRSDS 2020016","Hoja de vida Juanita Ávila Londoño","Hoja de Vida","2020-08-10T00:00:00.000","2020-08-20T00:00:00.000","2020-08-10T00:00:00.000"
"PQRSDS 2020017","INFORMACION VUELOS","Estados Vuelos","2020-08-10T00:00:00.000","2020-08-20T00:00:00.000","2020-08-10T00:00:00.000"
"PQRSDS 2020018","Servicios aeroportuarios","Opam","2020-08-03T00:00:00.000","2020-08-13T00:00:00.000","2020-08-13T00:00:00.000"
"PQRSDS 2020019","Servicios aeroportuarios","Opam","2020-08-10T00:00:00.000",,"2020-08-11T00:00:00.000"
"PQRSDS 2020020","informe sobre vuelo internacional","Opam","2020-08-11T00:00:00.000","2020-08-21T00:00:00.000","2020-08-13T00:00:00.000"
"PQRSDS 2020021","Informacion finalistas logo AIM","Otros","2020-08-18T00:00:00.000","2020-08-28T00:00:00.000","2020-08-18T00:00:00.000"
"PQRSDS 2020022","Medidas de covid-19 para viajar","Prueba Covid Nacionales","2020-08-18T00:00:00.000","2020-08-28T00:00:00.000","2020-08-18T00:00:00.000"
"PQRSDS 2020023","Informacion para empleo","Hoja de Vida","2020-08-18T00:00:00.000","2020-08-28T00:00:00.000","2020-08-18T00:00:00.000"
"PQRSDS 2020024","Viajar con un menor de Edad","Otros","2020-08-18T00:00:00.000","2020-08-28T00:00:00.000","2020-08-18T00:00:00.000"
"PQRSDS 2020025","LATAM Solicita copia Licencia ambiental","Otros","2020-08-18T00:00:00.000","2020-08-28T00:00:00.000","2020-08-18T00:00:00.000"
"PQRSDS 2020026","Informacion locales comerciales","Opam","2020-08-18T00:00:00.000","2020-08-28T00:00:00.000","2020-08-18T00:00:00.000"
"PQRSDS 2020027","Hoja de vida Alejandro Gonzalez","Hoja de Vida","2020-08-19T00:00:00.000","2020-08-29T00:00:00.000","2020-08-19T00:00:00.000"
"PQRSDS 2020028","Consulta sobre recepción de Mascotas de vuelos internacionales","Mascotas","2020-08-21T00:00:00.000","2020-09-01T00:00:00.000","2020-08-21T00:00:00.000"
"PQRSDS 2020029","Part time job - Trabajo de medio tiempo","Hoja de Vida","2020-08-24T00:00:00.000","2020-09-04T00:00:00.000","2020-08-24T00:00:00.000"
"PQRSDS 2020030","AVERIGUAR SOBRE UNA PERSONA","Otros","2020-08-25T00:00:00.000","2020-09-05T00:00:00.000","2020-08-25T00:00:00.000"
"PQRSDS 2020031","Informacion apertura","Otros","2020-08-25T00:00:00.000","2020-09-05T00:00:00.000","2020-08-25T00:00:00.000"
"PQRSDS 2020032","hoja de vida","Hoja de Vida","2020-08-24T00:00:00.000","2020-09-04T00:00:00.000","2020-08-25T00:00:00.000"
"PQRSDS 2020033","Peticion sugerencia","Otros","2020-08-26T00:00:00.000","2020-09-06T00:00:00.000","2020-08-26T00:00:00.000"
"PQRSDS 2020034","hoja de vida","Hoja de Vida","2020-08-28T00:00:00.000","2020-09-06T00:00:00.000","2020-08-27T00:00:00.000"
"PQRSDS 2020035","Solicitud semanas cotizadas laborales","Otros","2020-08-27T00:00:00.000","2020-09-08T00:00:00.000","2020-09-17T00:00:00.000"
"PQRSDS 2020036","vuelos directos de Copa que proceden de Miami","Estados Vuelos","2020-08-27T00:00:00.000","2020-09-07T00:00:00.000","2020-08-28T00:00:00.000"
"PQRSDS 2020037","Para que un menor de 12 años viaje debe sacar algun permiso especial??","Otros","2020-08-28T00:00:00.000","2020-09-08T00:00:00.000","2020-08-28T00:00:00.000"
"PQRSDS 2020038","requisitos y protocolos","Ingreso a Colombia","2020-09-03T00:00:00.000","2020-09-13T00:00:00.000","2020-09-04T00:00:00.000"
"PQRSDS 2020039","vacantes empleos","Hoja de Vida","2020-09-03T00:00:00.000","2020-09-13T00:00:00.000","2020-09-04T00:00:00.000"
"PQRSDS 2020040","vacantes empleos","Hoja de Vida","2020-09-03T00:00:00.000","2020-09-13T00:00:00.000","2020-09-04T00:00:00.000"
"PQRSDS 2020041","prueba del Covid-19. ingreso Aeropuerto","Prueba Covid Internacionales","2020-09-03T00:00:00.000","2020-09-13T00:00:00.000","2020-09-04T00:00:00.000"
"PQRSDS 2020042","Servicios aviones de carga","Otros","2020-09-04T00:00:00.000","2020-09-14T00:00:00.000","2020-09-08T00:00:00.000"
"PQRSDS 2020043","viajar desde el aeropuerto Matecaña de Pereira hacia Estados Unidos.","Otros","2020-09-07T00:00:00.000","2020-09-17T00:00:00.000","2020-09-08T00:00:00.000"
"PQRSDS 2020044","documentos para hacer algún viaje nacional.","Migracion","2020-09-07T00:00:00.000","2020-09-17T00:00:00.000","2020-09-08T00:00:00.000"
"PQRSDS 2020045","informacion sobre los vuelos internacionales.","Migracion","2020-09-09T00:00:00.000","2020-09-19T00:00:00.000","2020-09-10T00:00:00.000"
"PQRSDS 2020046","prueba de sangre para COVID-19 para ingresar al Aeropuerto","Laboratorio","2020-09-10T00:00:00.000","2020-09-20T00:00:00.000","2020-09-11T00:00:00.000"
"PQRSDS 2020047","horarios de operación del aeródromo","Opam","2020-09-10T00:00:00.000","2020-09-20T00:00:00.000","2020-09-11T00:00:00.000"
"PQRSDS 2020048","vacantes empleos","Hoja de Vida","2020-08-30T00:00:00.000","2020-09-10T00:00:00.000","2020-09-11T00:00:00.000"
"PQRSDS 2020049","prueba de sangre para COVID-19 para ingresar al Aeropuerto","Laboratorio","2020-09-15T00:00:00.000","2020-09-25T00:00:00.000","2020-09-16T00:00:00.000"
"PQRSDS 2020050","vuelos a Pereira desde Panamá.","Estados Vuelos","2020-09-17T00:00:00.000","2020-09-27T00:00:00.000","2020-09-17T00:00:00.000"
"PQRSDS 2020051","prueba del Coronavirus para viajar","Prueba Covid Nacionales","2020-09-17T00:00:00.000","2020-09-27T00:00:00.000","2020-09-17T00:00:00.000"
"PQRSDS 2020052","hoja de vida","Hoja de Vida","2020-09-20T00:00:00.000","2020-10-02T00:00:00.000","2020-09-20T00:00:00.000"
"PQRSDS 2020053","vuelo de España a Bogotá","Estados Vuelos","2020-09-23T00:00:00.000","2020-10-03T00:00:00.000","2020-09-24T00:00:00.000"
"PQRSDS 2020054","viajar desde Chile hacia Pereira","Estados Vuelos","2020-09-28T00:00:00.000","2020-10-08T00:00:00.000","2020-09-29T00:00:00.000"
"PQRSDS 2020055","Documentos para ingresar mascota","Mascotas","2020-09-28T00:00:00.000","2020-10-08T00:00:00.000","2020-09-29T00:00:00.000"
"PQRSDS 2020056","procedimiento de ingreso para los
servicios de ambulancia","Opam","2020-09-25T00:00:00.000","2020-10-05T00:00:00.000","2020-09-25T00:00:00.000"
"PQRSDS 2020057","vuelos internacionales","Otros","2020-09-29T00:00:00.000","2020-10-09T00:00:00.000","2020-09-29T00:00:00.000"
"PQRSDS 2020058","vuelos internacionales","Otros","2020-09-29T00:00:00.000","2020-10-09T00:00:00.000","2020-09-29T00:00:00.000"
"PQRSDS 2020059","vuelos internacionales","Otros","2020-09-30T00:00:00.000","2020-10-10T00:00:00.000","2020-09-30T00:00:00.000"
"PQRSDS 2020060","Para viajar entre ciudades nacionales, es necesario realizarse la prueba de covid 19","Laboratorio","2020-09-02T00:00:00.000","2020-09-19T00:00:00.000","2020-09-30T00:00:00.000"
"PQRSDS 2020061","cual aerolíena va a operar el vuelo de Pereira a Cartagena","Opam","2020-09-02T00:00:00.000","2020-09-19T00:00:00.000","2020-09-30T00:00:00.000"
"PQRSDS 2020062","El espacio en los sanitarios es muy reducido.","Queja Aerolinea","2020-09-02T00:00:00.000","2020-09-19T00:00:00.000","2020-09-30T00:00:00.000"
"PQRSDS 2020063","vuelos internacionales","Otros","2020-10-02T00:00:00.000","2020-10-12T00:00:00.000","2020-10-02T00:00:00.000"
"PQRSDS 2020064","vuelos de Estados Unidos a Pereira.","Estados Vuelos","2020-10-02T00:00:00.000","2020-10-12T00:00:00.000","2020-10-02T00:00:00.000"
"PQRSDS 2020065","Ingreso Ciudadano chileno menor de edad","Otros","2020-10-06T00:00:00.000","2020-10-16T00:00:00.000","2020-10-07T00:00:00.000"
"PQRSDS 2020066","Vuelos hacia Bogota","Estados Vuelos","2020-10-07T00:00:00.000","2020-10-17T00:00:00.000","2020-10-07T00:00:00.000"
"PQRSDS 2020067","las tarifas del parqueadero","Parking","2020-09-24T00:00:00.000","2020-10-04T00:00:00.000","2020-10-07T00:00:00.000"
"PQRSDS 2020068","Vuelo Dron","Opam","2020-09-26T00:00:00.000","2020-10-06T00:00:00.000","2020-10-07T00:00:00.000"
"PQRSDS 2020069","sobre coronaApp - error","Otros","2020-10-08T00:00:00.000","2020-10-18T00:00:00.000","2020-10-09T00:00:00.000"
"PQRSDS 2020070","hoja de vida","Hoja de Vida","2020-10-08T00:00:00.000","2020-10-18T00:00:00.000","2020-10-09T00:00:00.000"
"PQRSDS 2020071","hoja de vida","Hoja de Vida","2020-10-11T00:00:00.000","2020-10-21T00:00:00.000","2020-10-13T00:00:00.000"
"PQRSDS 2020072","informacion prueba Covid 19 Internacional","Prueba Covid Internacionales","2020-10-14T00:00:00.000","2020-10-24T00:00:00.000","2020-10-15T00:00:00.000"
"PQRSDS 2020073","rentar local en el aéreo puerto Matecana,","Opam","2020-10-15T00:00:00.000","2020-10-25T00:00:00.000","2020-10-16T00:00:00.000"
"PQRSDS 2020074","informacion Parqueadero","Parking","2020-10-15T00:00:00.000","2020-10-25T00:00:00.000","2020-10-16T00:00:00.000"
"PQRSDS 2020075","ventanilla de COPA air","Opam","2020-10-20T00:00:00.000","2020-10-30T00:00:00.000","2020-10-21T00:00:00.000"
"PQRSDS 2020076","Vuelos desde pereira hasta Barcelona españa","Estados Vuelos","2020-10-20T00:00:00.000","2020-10-30T00:00:00.000","2020-10-21T00:00:00.000"
"PQRSDS 2020077","Compra tiquete","Tiquetes","2020-10-20T00:00:00.000","2020-10-30T00:00:00.000","2020-10-21T00:00:00.000"
"PQRSDS 2020078","empresas de aviación están viajando a Nuqui","Opam","2020-10-20T00:00:00.000","2020-10-30T00:00:00.000","2020-10-21T00:00:00.000"
"PQRSDS 2020079","hoja de vida","Hoja de Vida","2020-10-22T00:00:00.000","2020-11-02T00:00:00.000","2020-10-22T00:00:00.000"
"PQRSDS 2020080","informacion Parqueadero","Parking","2020-10-19T00:00:00.000","2020-10-29T00:00:00.000","2020-10-22T00:00:00.000"
"PQRSDS 2020081","informacion Vuelos VivaAir","Opam","2020-10-22T00:00:00.000","2020-11-02T00:00:00.000","2020-10-22T00:00:00.000"
"PQRSDS 2020082","vuelos  de Panamá saliendo desde Pereira.","Estados Vuelos","2020-10-22T00:00:00.000","2020-11-02T00:00:00.000","2020-10-22T00:00:00.000"
"PQRSDS 2020083","hoja de vida","Hoja de Vida","2020-10-24T00:00:00.000","2020-11-04T00:00:00.000","2020-10-26T00:00:00.000"
"PQRSDS 2020084","vuelos ibague tolima","Estados Vuelos","2020-10-24T00:00:00.000","2020-11-04T00:00:00.000","2020-10-26T00:00:00.000"
"PQRSDS 2020085","informacion prueba Covid 19 Internacional","Prueba Covid Internacionales","2020-10-26T00:00:00.000","2020-11-06T00:00:00.000","2020-10-26T00:00:00.000"
"PQRSDS 2020086","informacion Parqueadero","Parking","2020-10-19T00:00:00.000","2020-10-29T00:00:00.000","2020-10-22T00:00:00.000"
"PQRSDS 2020087","Vuelo ciudad de Panama","Estados Vuelos","2020-10-27T00:00:00.000","2020-11-07T00:00:00.000","2020-10-28T00:00:00.000"
"PQRSDS 2020088","informacion prueba Covid 19 Internacional","Prueba Covid Internacionales","2020-10-27T00:00:00.000","2020-11-07T00:00:00.000","2020-10-28T00:00:00.000"
"PQRSDS 2020089","PARQUEADEROS- TELEFONO","Parking","2020-10-26T00:00:00.000","2020-11-06T00:00:00.000","2020-10-26T00:00:00.000"
"PQRSDS 2020090","Informacion coronapp ingreso AIM","Otros","2020-10-26T00:00:00.000","2020-11-06T00:00:00.000","2020-10-26T00:00:00.000"
"PQRSDS 2020091","Informacion coronapp ingreso AIM","Otros","2020-10-26T00:00:00.000","2020-11-06T00:00:00.000","2020-10-26T00:00:00.000"
"PQRSDS 2020092","Fraude Laboral","Otros","2020-11-05T00:00:00.000","2020-11-15T00:00:00.000","2020-11-05T00:00:00.000"
"PQRSDS 2020093","Vuelo ciudad de Panama","Estados Vuelos","2020-10-30T00:00:00.000","2020-11-10T00:00:00.000","2020-11-05T00:00:00.000"
"PQRSDS 2020094","informacion prueba Covid 19 Internacional","Prueba Covid Internacionales","2020-11-03T00:00:00.000","2020-11-13T00:00:00.000","2020-11-05T00:00:00.000"
"PQRSDS 2020095","Consulta acerca de equipaje","Opam","2020-11-04T00:00:00.000","2020-11-14T00:00:00.000","2020-11-05T00:00:00.000"
"PQRSDS 2020096","examen de COVID-19 para viajar a la ciudad de Bogotá","Prueba Covid Nacionales","2020-11-04T00:00:00.000","2020-11-14T00:00:00.000","2020-11-05T00:00:00.000"
