"COD_EVE","Nombre","ANO","SEMANA","COD_DPTO_O","nom_mun","COD_MUN_O","conteo_casos"
"100","ACCIDENTE OFIDICO","2.019","1","5","EL BAGRE","250","2"
"100","ACCIDENTE OFIDICO","2.019","1","5","MUTATA","480","1"
"100","ACCIDENTE OFIDICO","2.019","1","5","YARUMAL","887","1"
"100","ACCIDENTE OFIDICO","2.019","1","8","GALAPA","296","1"
"100","ACCIDENTE OFIDICO","2.019","1","13","ARJONA","52","1"
"100","ACCIDENTE OFIDICO","2.019","1","20","RIO DE ORO","614","1"
"100","ACCIDENTE OFIDICO","2.019","1","20","VALLEDUPAR","1","2"
"100","ACCIDENTE OFIDICO","2.019","1","27","* CHOCO. MUNICIPIO DESCONOCIDO","0","1"
"100","ACCIDENTE OFIDICO","2.019","1","27","QUIBDO","1","1"
"100","ACCIDENTE OFIDICO","2.019","1","41","LA PLATA","396","1"
"100","ACCIDENTE OFIDICO","2.019","1","44","FONSECA","279","1"
"100","ACCIDENTE OFIDICO","2.019","1","50","PUERTO LLERAS","577","1"
"100","ACCIDENTE OFIDICO","2.019","1","50","VILLAVICENCIO","1","5"
"100","ACCIDENTE OFIDICO","2.019","1","52","BARBACOAS","79","1"
"100","ACCIDENTE OFIDICO","2.019","1","54","ABREGO","3","2"
"100","ACCIDENTE OFIDICO","2.019","1","68","CIMITARRA","190","2"
"100","ACCIDENTE OFIDICO","2.019","1","68","GIRON","307","1"
"100","ACCIDENTE OFIDICO","2.019","1","68","LA PAZ","397","1"
"100","ACCIDENTE OFIDICO","2.019","1","73","CAJAMARCA","124","1"
"100","ACCIDENTE OFIDICO","2.019","1","85","NUNCHIA","225","1"
"100","ACCIDENTE OFIDICO","2.019","1","95","EL RETORNO","25","1"
"100","ACCIDENTE OFIDICO","2.019","2","5","EL BAGRE","250","1"
"100","ACCIDENTE OFIDICO","2.019","2","5","SAN PEDRO DE URABA","665","1"
"100","ACCIDENTE OFIDICO","2.019","2","5","SANTA BARBARA","679","1"
"100","ACCIDENTE OFIDICO","2.019","2","5","VALDIVIA","854","1"
"100","ACCIDENTE OFIDICO","2.019","2","8","GALAPA","296","1"
"100","ACCIDENTE OFIDICO","2.019","2","8","MALAMBO","433","1"
"100","ACCIDENTE OFIDICO","2.019","2","8","MANATI","436","1"
"100","ACCIDENTE OFIDICO","2.019","2","13","ARJONA","52","1"
"100","ACCIDENTE OFIDICO","2.019","2","15","CUBARA","223","1"
"100","ACCIDENTE OFIDICO","2.019","2","17","LA DORADA","380","2"
"100","ACCIDENTE OFIDICO","2.019","2","18","SOLITA","785","1"
"100","ACCIDENTE OFIDICO","2.019","2","19","EL TAMBO","256","2"
"100","ACCIDENTE OFIDICO","2.019","2","19","LA SIERRA","392","1"
"100","ACCIDENTE OFIDICO","2.019","2","23","MONTELIBANO","466","1"
"100","ACCIDENTE OFIDICO","2.019","2","27","CARMEN DEL DARIEN","150","1"
"100","ACCIDENTE OFIDICO","2.019","2","27","QUIBDO","1","1"
"100","ACCIDENTE OFIDICO","2.019","2","41","GUADALUPE","319","2"
"100","ACCIDENTE OFIDICO","2.019","2","41","HOBO","349","1"
"100","ACCIDENTE OFIDICO","2.019","2","41","PALERMO","524","1"
"100","ACCIDENTE OFIDICO","2.019","2","47","CONCORDIA","205","1"
"100","ACCIDENTE OFIDICO","2.019","2","52","TUMACO","835","1"
"100","ACCIDENTE OFIDICO","2.019","2","66","MISTRATO","456","1"
"100","ACCIDENTE OFIDICO","2.019","2","66","PUEBLO RICO","572","2"
"100","ACCIDENTE OFIDICO","2.019","2","68","SABANA DE TORRES","655","1"
"100","ACCIDENTE OFIDICO","2.019","2","70","SAN JUAN DE BETULIA","702","1"
"100","ACCIDENTE OFIDICO","2.019","2","70","SAN MARCOS","708","1"
"100","ACCIDENTE OFIDICO","2.019","2","73","IBAGUE","1","1"
